train_number,station,time
96301,CSMT,00:02
97601,CSMT,00:05
96401,CSMT,00:08
96101,CSMT,00:12
97301,CSMT,00:24
96403,CSMT,04:19
95001,CSMT,04:35
96107,CSMT,04:47
97003,CSMT,05:00
96405,CSMT,05:07
96505,CSMT,05:12
96303,CSMT,05:16
95701,CSMT,05:20
96301,Masjid,00:05
97601,Masjid,00:08
96401,Masjid,00:11
96101,Masjid,00:15
97301,Masjid,00:27
96403,Masjid,04:22
96107,Masjid,04:50
97003,Masjid,05:03
96405,Masjid,05:10
96505,Masjid,05:15
96303,Masjid,05:19
96301,Sandhurst Road,00:07
97601,Sandhurst Road,00:10
96401,Sandhurst Road,00:13
96101,Sandhurst Road,00:17
97301,Sandhurst Road,00:29
96403,Sandhurst Road,04:24
96107,Sandhurst Road,04:52
97003,Sandhurst Road,05:05
96405,Sandhurst Road,05:12
96505,Sandhurst Road,05:17
96303,Sandhurst Road,05:21
96301,Byculla,00:10
97601,Byculla,00:13
96401,Byculla,00:16
96101,Byculla,00:20
97301,Byculla,00:32
96403,Byculla,04:27
95001,Byculla,04:42
96107,Byculla,04:55
97003,Byculla,05:08
96405,Byculla,05:15
96505,Byculla,05:20
96303,Byculla,05:24
95701,Byculla,05:27
96301,Chinchpokli,00:12
97601,Chinchpokli,00:15
96401,Chinchpokli,00:18
96101,Chinchpokli,00:22
97301,Chinchpokli,00:34
96403,Chinchpokli,04:29
96107,Chinchpokli,04:57
97003,Chinchpokli,05:10
96405,Chinchpokli,05:17
96505,Chinchpokli,05:22
96303,Chinchpokli,05:26
96301,Currey Road,00:14
97601,Currey Road,00:17
96401,Currey Road,00:20
96101,Currey Road,00:24
97301,Currey Road,00:36
96403,Currey Road,04:31
96107,Currey Road,04:59
97003,Currey Road,05:12
96405,Currey Road,05:19
96505,Currey Road,05:24
96303,Currey Road,05:28
96301,Parel,00:17
97601,Parel,00:20
96401,Parel,00:23
96101,Parel,00:27
97301,Parel,00:39
96403,Parel,04:34
96107,Parel,05:02
97003,Parel,05:15
96405,Parel,05:22
96505,Parel,05:27
96303,Parel,05:31
96301,Dadar,00:20
97601,Dadar,00:23
96401,Dadar,00:26
96101,Dadar,00:30
97301,Dadar,00:42
96403,Dadar,04:37
95001,Dadar,04:48
96107,Dadar,05:05
97003,Dadar,05:18
96405,Dadar,05:25
96505,Dadar,05:30
96303,Dadar,05:34
95701,Dadar,05:33
96301,Matunga,00:23
97601,Matunga,00:26
96401,Matunga,00:29
96101,Matunga,00:33
97301,Matunga,00:45
96403,Matunga,04:40
96107,Matunga,05:08
97003,Matunga,05:21
96405,Matunga,05:28
96505,Matunga,05:33
96303,Matunga,05:37
96301,Sion,00:26
97601,Sion,00:29
96401,Sion,00:32
96101,Sion,00:36
97301,Sion,00:48
96403,Sion,04:43
96107,Sion,05:11
97003,Sion,05:24
96405,Sion,05:31
96505,Sion,05:36
96303,Sion,05:40
96301,Kurla,00:30
97601,Kurla,00:33
96401,Kurla,00:36
96101,Kurla,00:40
97301,Kurla,00:52
96403,Kurla,04:47
95001,Kurla,04:57
97303,Kurla,04:58
96107,Kurla,05:15
97003,Kurla,05:28
96405,Kurla,05:35
96505,Kurla,05:40
96303,Kurla,05:44
95701,Kurla,05:40
96301,Vidyavihar,00:33
96401,Vidyavihar,00:39
96101,Vidyavihar,00:43
97301,Vidyavihar,00:55
96601,Vidyavihar,04:45
96403,Vidyavihar,04:50
97303,Vidyavihar,05:01
96107,Vidyavihar,05:18
96201,Vidyavihar,05:26
97003,Vidyavihar,05:31
97005,Vidyavihar,05:34
96405,Vidyavihar,05:38
96505,Vidyavihar,05:43
96303,Vidyavihar,05:47
96301,Ghatkopar,00:36
96401,Ghatkopar,00:42
96101,Ghatkopar,00:46
97301,Ghatkopar,00:58
96601,Ghatkopar,04:48
96403,Ghatkopar,04:53
95001,Ghatkopar,05:02
97303,Ghatkopar,05:04
96107,Ghatkopar,05:21
96201,Ghatkopar,05:29
97003,Ghatkopar,05:34
97005,Ghatkopar,05:37
96405,Ghatkopar,05:41
96505,Ghatkopar,05:46
96303,Ghatkopar,05:50
95701,Ghatkopar,05:44
96301,Vikhroli,00:40
96401,Vikhroli,00:46
96101,Vikhroli,00:50
97301,Vikhroli,01:02
96601,Vikhroli,04:52
96403,Vikhroli,04:57
97303,Vikhroli,05:08
96107,Vikhroli,05:25
96201,Vikhroli,05:33
97003,Vikhroli,05:38
97005,Vikhroli,05:41
96405,Vikhroli,05:45
96505,Vikhroli,05:50
96303,Vikhroli,05:54
96301,Kanjur Marg,00:43
96401,Kanjur Marg,00:49
96101,Kanjur Marg,00:53
97301,Kanjur Marg,01:05
96601,Kanjur Marg,04:55
