train_number,station,time
98301,Mumbai CSMT,00:05
98001,Mumbai CSMT,00:13
98801,Mumbai CSMT,00:17
98573,Mumbai CSMT,00:24
98803,Mumbai CSMT,00:36
98005,Mumbai CSMT,00:40
98701,Mumbai CSMT,04:28
98007,Mumbai CSMT,04:32
98011,Mumbai CSMT,04:52
98703,Mumbai CSMT,04:56
98013,Mumbai CSMT,05:06
98705,Mumbai CSMT,05:10
98015,Mumbai CSMT,05:18
98017,Mumbai CSMT,05:22
98707,Mumbai CSMT,05:26
98019,Mumbai CSMT,05:30
98805,Mumbai CSMT,05:33
98301,Masjid,00:08
98001,Masjid,00:16
98801,Masjid,00:20
98573,Masjid,00:27
98803,Masjid,00:39
98005,Masjid,00:43
98701,Masjid,04:31
98007,Masjid,04:35
99003,Masjid,05:12
98011,Masjid,04:55
98703,Masjid,04:59
98013,Masjid,05:09
98705,Masjid,05:13
98015,Masjid,05:21
98017,Masjid,05:25
98707,Masjid,05:29
98019,Masjid,05:33
98805,Masjid,05:36
98301,Sandhurst Road,00:11
98001,Sandhurst Road,00:19
98801,Sandhurst Road,00:23
98573,Sandhurst Road,00:30
98803,Sandhurst Road,00:42
98005,Sandhurst Road,00:46
98701,Sandhurst Road,04:34
98007,Sandhurst Road,04:38
98011,Sandhurst Road,04:58
98703,Sandhurst Road,05:02
98013,Sandhurst Road,05:12
98705,Sandhurst Road,05:16
98015,Sandhurst Road,05:24
98017,Sandhurst Road,05:28
98707,Sandhurst Road,05:32
98019,Sandhurst Road,05:36
98805,Sandhurst Road,05:39
98301,Dockyard Road,00:13
98001,Dockyard Road,00:21
98801,Dockyard Road,00:25
98573,Dockyard Road,00:32
98803,Dockyard Road,00:44
98005,Dockyard Road,00:48
98701,Dockyard Road,04:36
98007,Dockyard Road,04:40
98011,Dockyard Road,05:00
98703,Dockyard Road,05:04
98013,Dockyard Road,05:14
98705,Dockyard Road,05:18
98015,Dockyard Road,05:26
98017,Dockyard Road,05:30
98707,Dockyard Road,05:34
98019,Dockyard Road,05:38
98805,Dockyard Road,05:41
98301,Reay Road,00:15
98001,Reay Road,00:23
98801,Reay Road,00:27
98573,Reay Road,00:34
98803,Reay Road,00:46
98005,Reay Road,00:50
98701,Reay Road,04:38
98007,Reay Road,04:42
98011,Reay Road,05:02
98703,Reay Road,05:06
98013,Reay Road,05:16
98705,Reay Road,05:20
98015,Reay Road,05:28
98017,Reay Road,05:32
98707,Reay Road,05:36
98019,Reay Road,05:40
98805,Reay Road,05:43
98301,Cotton Green,00:17
98001,Cotton Green,00:25
98801,Cotton Green,00:29
98573,Cotton Green,00:36
98803,Cotton Green,00:48
98005,Cotton Green,00:52
98701,Cotton Green,04:40
98007,Cotton Green,04:44
98011,Cotton Green,05:04
98703,Cotton Green,05:08
98013,Cotton Green,05:18
98705,Cotton Green,05:22
98015,Cotton Green,05:30
98017,Cotton Green,05:34
98707,Cotton Green,05:38
98019,Cotton Green,05:42
98805,Cotton Green,05:45
98301,Sewri,00:20
98001,Sewri,00:28
98801,Sewri,00:32
98573,Sewri,00:39
98803,Sewri,00:51
98005,Sewri,00:55
98701,Sewri,04:43
98007,Sewri,04:47
98011,Sewri,05:07
98703,Sewri,05:11
98013,Sewri,05:21
98705,Sewri,05:25
98015,Sewri,05:33
98017,Sewri,05:37
98707,Sewri,05:41
98019,Sewri,05:45
98805,Sewri,05:48
98301,Vadala Road,00:23
98001,Vadala Road,00:31
98801,Vadala Road,00:35
98573,Vadala Road,00:42
98303,Vadala Road,00:50
98803,Vadala Road,00:54
98005,Vadala Road,00:58
98701,Vadala Road,04:46
98007,Vadala Road,04:50
98009,Vadala Road,05:06
98011,Vadala Road,05:10
98703,Vadala Road,05:14
98013,Vadala Road,05:24
98705,Vadala Road,05:28
98015,Vadala Road,05:36
98017,Vadala Road,05:40
98707,Vadala Road,05:44
98019,Vadala Road,05:48
98805,Vadala Road,05:51
98801,King's Circle,00:39
98803,King's Circle,00:58
98701,King's Circle,04:50
98703,King's Circle,05:18
98705,King's Circle,05:32
98707,King's Circle,05:48
98805,King's Circle,05:55
98801,Mahim Jn,00:41
98803,Mahim Jn,01:00
98701,Mahim Jn,04:53
98703,Mahim Jn,05:21
98705,Mahim Jn,05:35
98707,Mahim Jn,05:51
98805,Mahim Jn,05:58
98801,Bandra,00:45
98803,Bandra,01:04
98701,Bandra,04:57
98703,Bandra,05:25
98705,Bandra,05:39
98707,Bandra,05:55
98805,Bandra,06:02
98701,Khar Road,05:01
98703,Khar Road,05:29
98705,Khar Road,05:43
98707,Khar Road,05:59
98701,Santacruz,05:04
98703,Santacruz,05:32
98705,Santacruz,05:46
98707,Santacruz,06:02
98701,Vileparle,05:07
98703,Vileparle,05:35
98705,Vileparle,05:49
98707,Vileparle,06:05
98701,Andheri,05:11
98703,Andheri,05:39
98705,Andheri,05:53
98707,Andheri,06:09
98701,Jogeshwari,05:15
98703,Jogeshwari,05:43
98705,Jogeshwari,05:57
98707,Jogeshwari,06:13
98701,Ramnagar,05:18
98703,Ramnagar,05:46
98705,Ramnagar,06:00
98707,Ramnagar,06:16
