train_number,station,time
98252,Panvel,00:03
98004,Panvel,04:03
98006,Panvel,04:27
99002,Panvel,04:33
98252,Khandeshwar,00:08
98004,Khandeshwar,04:08
98006,Khandeshwar,04:32
99002,Khandeshwar,04:38
98252,Mansarovar,00:11
98004,Mansarovar,04:11
98006,Mansarovar,04:35
99002,Mansarovar,04:41
98252,Kharghar,00:14
98004,Kharghar,04:14
98006,Kharghar,04:38
99002,Kharghar,04:44
98252,Belapur CBD,00:18
98302,Belapur CBD,03:55
98304,Belapur CBD,04:13
98004,Belapur CBD,04:18
98306,Belapur CBD,04:26
98006,Belapur CBD,04:42
99002,Belapur CBD,04:48
98308,Belapur CBD,04:53
98302,Seawood Darave Karave,03:59
98304,Seawood Darave Karave,04:17
98004,Seawood Darave Karave,04:22
98306,Seawood Darave Karave,04:30
98006,Seawood Darave Karave,04:46
99002,Seawood Darave Karave,04:52
98308,Seawood Darave Karave,04:57
98302,Nerul,04:02
98304,Nerul,04:20
98004,Nerul,04:25
98306,Nerul,04:33
98006,Nerul,04:49
99002,Nerul,04:56
98308,Nerul,05:00
98302,Juinagar,04:05
98304,Juinagar,04:23
98004,Juinagar,04:28
98306,Juinagar,04:36
98006,Juinagar,04:52
98308,Juinagar,05:03
98302,Sanpada,04:08
98304,Sanpada,04:26
98004,Sanpada,04:31
98306,Sanpada,04:39
98006,Sanpada,04:55
98308,Sanpada,05:06
98502,Vashi,04:03
98302,Vashi,04:11
98506,Vashi,04:15
98504,Vashi,04:25
98304,Vashi,04:29
98004,Vashi,04:33
98508,Vashi,04:37
98306,Vashi,04:41
98510,Vashi,04:50
98006,Vashi,04:57
98512,Vashi,05:04
98308,Vashi,05:08
98502,Mankhurd,04:11
98302,Mankhurd,04:19
98506,Mankhurd,04:23
98504,Mankhurd,04:33
98304,Mankhurd,04:37
98004,Mankhurd,04:41
98508,Mankhurd,04:45
98306,Mankhurd,04:49
98510,Mankhurd,04:58
98006,Mankhurd,05:05
98512,Mankhurd,05:12
98308,Mankhurd,05:16
98502,Govandi,04:14
98302,Govandi,04:22
98506,Govandi,04:26
98504,Govandi,04:36
98304,Govandi,04:40
98004,Govandi,04:44
98508,Govandi,04:48
98306,Govandi,04:52
98510,Govandi,05:01
98006,Govandi,05:08
98512,Govandi,05:15
98308,Govandi,05:19
98502,Chembur,04:16
98302,Chembur,04:24
98506,Chembur,04:28
98504,Chembur,04:38
98304,Chembur,04:42
98004,Chembur,04:46
98508,Chembur,04:50
98306,Chembur,04:54
98510,Chembur,05:03
98006,Chembur,05:10
98512,Chembur,05:17
98308,Chembur,05:21
98502,Tilaknagar,04:19
98302,Tilaknagar,04:27
98506,Tilaknagar,04:31
98504,Tilaknagar,04:41
98304,Tilaknagar,04:45
98004,Tilaknagar,04:49
98508,Tilaknagar,04:53
98306,Tilaknagar,04:57
98510,Tilaknagar,05:06
98006,Tilaknagar,05:13
98512,Tilaknagar,05:20
98308,Tilaknagar,05:24
98502,Kurla,04:22
98302,Kurla,04:30
98506,Kurla,04:34
98504,Kurla,04:44
98304,Kurla,04:48
98004,Kurla,04:52
98508,Kurla,04:56
98306,Kurla,05:00
98510,Kurla,05:09
98006,Kurla,05:16
98512,Kurla,05:23
98308,Kurla,05:27
98502,Chunabhatti,04:25
98302,Chunabhatti,04:33
98506,Chunabhatti,04:37
98504,Chunabhatti,04:47
98304,Chunabhatti,04:51
98004,Chunabhatti,04:55
98508,Chunabhatti,04:59
98306,Chunabhatti,05:03
98510,Chunabhatti,05:12
98006,Chunabhatti,05:19
98512,Chunabhatti,05:26
98308,Chunabhatti,05:30
98502,GTB Nagar,04:28
98302,GTB Nagar,04:36
98506,GTB Nagar,04:40
98504,GTB Nagar,04:50
98304,GTB Nagar,04:54
98004,GTB Nagar,04:58
98508,GTB Nagar,05:02
98306,GTB Nagar,05:06
98510,GTB Nagar,05:15
98006,GTB Nagar,05:22
98512,GTB Nagar,05:29
98308,GTB Nagar,05:33
98702,Goregaon,00:07
98704,Goregaon,05:05
98702,Ramnagar,00:11
98704,Ramnagar,05:09
98702,Jogeshwari,00:14
98704,Jogeshwari,05:12
98702,Andheri,00:18
98704,Andheri,05:16
98702,Vileparle,00:22
98704,Vileparle,05:20
98702,Santacruz,00:25
98704,Santacruz,05:23
98702,Khar Road,00:28
98704,Khar Road,05:26
98702,Bandra,00:32
98802,Bandra,04:17
98804,Bandra,04:34
98806,Bandra,05:13
98704,Bandra,05:30
98702,Mahim Jn,00:35
98802,Mahim Jn,04:21
98804,Mahim Jn,04:37
98806,Mahim Jn,05:16
98704,Mahim Jn,05:33
98702,King's Circle,00:38
98802,King's Circle,04:24
98804,King's Circle,04:40
98806,King's Circle,05:19
98704,King's Circle,05:36
98702,Vadala Road,00:44
98802,Vadala Road,04:30
98502,Vadala Road,04:34
98302,Vadala Road,04:42
98804,Vadala Road,04:46
98506,Vadala Road,04:46
98504,Vadala Road,04:56
98304,Vadala Road,05:00
98004,Vadala Road,05:04
98508,Vadala Road,05:08
98306,Vadala Road,05:12
98510,Vadala Road,05:21
98806,Vadala Road,05:25
98006,Vadala Road,05:28
98512,Vadala Road,05:35
98308,Vadala Road,05:38
98704,Vadala Road,05:42
98702,Sewri,00:47
98802,Sewri,04:33
98502,Sewri,04:37
98302,Sewri,04:45
98804,Sewri,04:49
98504,Sewri,04:59
98304,Sewri,05:03
98004,Sewri,05:07
98508,Sewri,05:11
98306,Sewri,05:15
98510,Sewri,05:24
98806,Sewri,05:28
98006,Sewri,05:31
98308,Sewri,05:41
98704,Sewri,05:45
98702,Cotton Green,00:50
98802,Cotton Green,04:36
98502,Cotton Green,04:40
98302,Cotton Green,04:48
98804,Cotton Green,04:52
98504,Cotton Green,05:02
98304,Cotton Green,05:06
98004,Cotton Green,05:10
98508,Cotton Green,05:14
98306,Cotton Green,05:18
98510,Cotton Green,05:27
98806,Cotton Green,05:31
98006,Cotton Green,05:34
98308,Cotton Green,05:44
98704,Cotton Green,05:48
98702,Reay Road,00:52
98802,Reay Road,04:38
98502,Reay Road,04:42
98302,Reay Road,04:50
98804,Reay Road,04:54
98504,Reay Road,05:04
98304,Reay Road,05:08
98004,Reay Road,05:12
98508,Reay Road,05:16
98306,Reay Road,05:20
98510,Reay Road,05:29
98806,Reay Road,05:33
98006,Reay Road,05:36
98308,Reay Road,05:46
98704,Reay Road,05:50
98702,Dockyard Road,00:55
98802,Dockyard Road,04:41
98502,Dockyard Road,04:45
98302,Dockyard Road,04:53
98804,Dockyard Road,04:57
