train_number,station,time
99601,NERUL,06:15
99603,NERUL,07:15
99605,NERUL,08:15
99607,NERUL,09:15
99609,NERUL,10:45
99611,NERUL,13:45
99613,NERUL,15:45
99615,NERUL,17:30
99617,NERUL,18:00
99619,NERUL,19:00
99621,NERUL,20:00
99623,NERUL,21:30
99601,SEAWOODS DARAVE KARAVE,06:19
99603,SEAWOODS DARAVE KARAVE,07:19
99605,SEAWOODS DARAVE KARAVE,08:19
99607,SEAWOODS DARAVE KARAVE,09:19
99609,SEAWOODS DARAVE KARAVE,10:49
99611,SEAWOODS DARAVE KARAVE,13:49
99613,SEAWOODS DARAVE KARAVE,15:49
99615,SEAWOODS DARAVE KARAVE,17:34
99617,SEAWOODS DARAVE KARAVE,18:04
99619,SEAWOODS DARAVE KARAVE,19:04
99621,SEAWOODS DARAVE KARAVE,20:04
99623,SEAWOODS DARAVE KARAVE,21:34
99701,BELAPUR,05:30
99703,BELAPUR,06:45
99705,BELAPUR,07:45
99707,BELAPUR,08:45
99709,BELAPUR,09:45
99711,BELAPUR,11:30
99713,BELAPUR,13:00
99715,BELAPUR,14:45
99717,BELAPUR,17:00
99719,BELAPUR,18:30
99721,BELAPUR,19:30
99723,BELAPUR,20:45
99725,BELAPUR,22:30
99701,TARGHAR,05:39
99601,TARGHAR,06:25
99703,TARGHAR,06:54
99603,TARGHAR,07:25
99705,TARGHAR,07:54
99605,TARGHAR,08:25
99707,TARGHAR,08:54
99607,TARGHAR,09:25
99709,TARGHAR,09:54
99609,TARGHAR,10:55
99711,TARGHAR,11:39
99713,TARGHAR,13:09
99611,TARGHAR,13:55
99715,TARGHAR,14:54
99613,TARGHAR,15:55
99717,TARGHAR,17:09
99615,TARGHAR,17:40
99617,TARGHAR,18:10
99719,TARGHAR,18:39
99619,TARGHAR,19:10
99721,TARGHAR,19:39
99621,TARGHAR,20:10
99723,TARGHAR,20:54
99623,TARGHAR,21:40
99725,TARGHAR,22:39
99701,BAMANDONGRI,05:42
99601,BAMANDONGRI,06:28
99703,BAMANDONGRI,06:57
99603,BAMANDONGRI,07:28
99705,BAMANDONGRI,07:57
99605,BAMANDONGRI,08:28
99707,BAMANDONGRI,08:57
99607,BAMANDONGRI,09:28
99709,BAMANDONGRI,09:57
99609,BAMANDONGRI,10:58
99711,BAMANDONGRI,11:42
99713,BAMANDONGRI,13:12
99611,BAMANDONGRI,13:58
99715,BAMANDONGRI,14:57
99613,BAMANDONGRI,15:58
99717,BAMANDONGRI,17:12
99615,BAMANDONGRI,17:43
99617,BAMANDONGRI,18:13
99719,BAMANDONGRI,18:42
99619,BAMANDONGRI,19:13
99721,BAMANDONGRI,19:42
99621,BAMANDONGRI,20:13
99723,BAMANDONGRI,20:57
99623,BAMANDONGRI,21:43
99725,BAMANDONGRI,22:42
99701,KHARKOPAR,05:46
99601,KHARKOPAR,06:32
99703,KHARKOPAR,07:01
99603,KHARKOPAR,07:32
99705,KHARKOPAR,08:01
99605,KHARKOPAR,08:32
99707,KHARKOPAR,09:01
99607,KHARKOPAR,09:32
99709,KHARKOPAR,10:01
99609,KHARKOPAR,11:02
99711,KHARKOPAR,11:46
99713,KHARKOPAR,13:16
99611,KHARKOPAR,14:02
99715,KHARKOPAR,15:01
99613,KHARKOPAR,16:02
99717,KHARKOPAR,17:16
99615,KHARKOPAR,17:47
99617,KHARKOPAR,18:17
99719,KHARKOPAR,18:46
99619,KHARKOPAR,19:17
99721,KHARKOPAR,19:46
99621,KHARKOPAR,20:17
99723,KHARKOPAR,21:01
99623,KHARKOPAR,21:47
99725,KHARKOPAR,22:46
99701,GAVHAN,05:50
99601,GAVHAN,06:36
99703,GAVHAN,07:05
99603,GAVHAN,07:36
99705,GAVHAN,08:05
99605,GAVHAN,08:36
99707,GAVHAN,09:05
99607,GAVHAN,09:36
99709,GAVHAN,10:05
99609,GAVHAN,11:06
99711,GAVHAN,11:50
99713,GAVHAN,13:20
99611,GAVHAN,14:06
99715,GAVHAN,15:05
99613,GAVHAN,16:06
99717,GAVHAN,17:20
99615,GAVHAN,17:51
99617,GAVHAN,18:21
99719,GAVHAN,18:50
99619,GAVHAN,19:21
99721,GAVHAN,19:50
99621,GAVHAN,20:21
99723,GAVHAN,21:05
99623,GAVHAN,21:51
99725,GAVHAN,22:50
99701,SHEMATIKHAR,05:54
99601,SHEMATIKHAR,06:40
99703,SHEMATIKHAR,07:09
99603,SHEMATIKHAR,07:40
99705,SHEMATIKHAR,08:09
99605,SHEMATIKHAR,08:40
99707,SHEMATIKHAR,09:09
99607,SHEMATIKHAR,09:40
99709,SHEMATIKHAR,10:09
99609,SHEMATIKHAR,11:10
99711,SHEMATIKHAR,11:54
99713,SHEMATIKHAR,13:24
99611,SHEMATIKHAR,14:10
99715,SHEMATIKHAR,15:09
99613,SHEMATIKHAR,16:10
99717,SHEMATIKHAR,17:24
99615,SHEMATIKHAR,17:55
99617,SHEMATIKHAR,18:25
99719,SHEMATIKHAR,18:54
99619,SHEMATIKHAR,19:25
99721,SHEMATIKHAR,19:54
99621,SHEMATIKHAR,20:25
99723,SHEMATIKHAR,21:09
99623,SHEMATIKHAR,21:55
99725,SHEMATIKHAR,22:54
99701,NHAVE SHEVA,05:57
99601,NHAVE SHEVA,06:43
99703,NHAVE SHEVA,07:12
99603,NHAVE SHEVA,07:43
99705,NHAVE SHEVA,08:12
99605,NHAVE SHEVA,08:43
99707,NHAVE SHEVA,09:12
99607,NHAVE SHEVA,09:43
99709,NHAVE SHEVA,10:12
99609,NHAVE SHEVA,11:13
99711,NHAVE SHEVA,11:57
99713,NHAVE SHEVA,13:27
99611,NHAVE SHEVA,14:13
99715,NHAVE SHEVA,15:12
99613,NHAVE SHEVA,16:13
99717,NHAVE SHEVA,17:27
99615,NHAVE SHEVA,17:58
99617,NHAVE SHEVA,18:28
99719,NHAVE SHEVA,18:57
99619,NHAVE SHEVA,19:28
99721,NHAVE SHEVA,19:57
99621,NHAVE SHEVA,20:28
99723,NHAVE SHEVA,21:12
99623,NHAVE SHEVA,21:58
99725,NHAVE SHEVA,22:57
99701,DRONAGIRI,06:00
