train_number,station,time
99001,TNA,00:05
99003,TNA,05:12
99401,TNA,05:25
99201,TNA,05:40
99403,TNA,05:53
99405,TNA,06:09
99005,TNA,06:20
99203,TNA,06:27
99407,TNA,06:39
99205,TNA,06:46
99409,TNA,06:59
99007,TNA,07:04
99411,TNA,07:17
99207,TNA,07:23
99413,TNA,07:35
99209,TNA,07:43
99415,TNA,07:53
99009,TNA,08:03
99417,TNA,08:07
99001,DIGH,00:10
99003,DIGH,05:17
99401,DIGH,05:30
99201,DIGH,05:45
99403,DIGH,05:58
99405,DIGH,06:14
99005,DIGH,06:25
99203,DIGH,06:32
99407,DIGH,06:44
99205,DIGH,06:51
99409,DIGH,07:04
99007,DIGH,07:09
99411,DIGH,07:22
99207,DIGH,07:28
99413,DIGH,07:40
99209,DIGH,07:48
99415,DIGH,07:58
99009,DIGH,08:08
99417,DIGH,08:12
99001,AIRL,00:13
99003,AIRL,05:20
99401,AIRL,05:33
99201,AIRL,05:48
99403,AIRL,06:01
99405,AIRL,06:17
99005,AIRL,06:28
99203,AIRL,06:35
99407,AIRL,06:47
99205,AIRL,06:54
99409,AIRL,07:07
99007,AIRL,07:12
99411,AIRL,07:25
99207,AIRL,07:31
99413,AIRL,07:43
99209,AIRL,07:51
99415,AIRL,08:01
99009,AIRL,08:11
99417,AIRL,08:15
99001,RABE,00:16
99003,RABE,05:23
99401,RABE,05:36
99201,RABE,05:51
99403,RABE,06:04
99405,RABE,06:20
99005,RABE,06:31
99203,RABE,06:38
99407,RABE,06:50
99205,RABE,06:57
99409,RABE,07:10
99007,RABE,07:15
99411,RABE,07:28
99207,RABE,07:34
99413,RABE,07:46
99209,RABE,07:54
99415,RABE,08:04
99009,RABE,08:14
99417,RABE,08:18
99001,GNSL,00:19
99003,GNSL,05:26
99401,GNSL,05:39
99201,GNSL,05:54
99403,GNSL,06:07
99405,GNSL,06:23
99005,GNSL,06:34
99203,GNSL,06:41
99407,GNSL,06:53
99205,GNSL,07:00
99409,GNSL,07:13
99007,GNSL,07:18
99411,GNSL,07:31
99207,GNSL,07:37
99413,GNSL,07:49
99209,GNSL,07:57
99415,GNSL,08:07
99009,GNSL,08:17
99417,GNSL,08:21
99001,KPHN,00:22
99003,KPHN,05:29
99401,KPHN,05:42
99201,KPHN,05:57
99403,KPHN,06:10
99405,KPHN,06:26
99005,KPHN,06:37
99203,KPHN,06:44
99407,KPHN,06:56
99205,KPHN,07:03
99409,KPHN,07:16
99007,KPHN,07:21
99411,KPHN,07:34
99207,KPHN,07:40
99413,KPHN,07:52
99209,KPHN,08:00
99415,KPHN,08:10
99009,KPHN,08:20
99417,KPHN,08:24
99001,TUH,00:26
99003,TUH,05:33
99401,TUH,05:46
99201,TUH,06:01
99403,TUH,06:14
99405,TUH,06:30
99005,TUH,06:41
99203,TUH,06:48
99407,TUH,07:00
99205,TUH,07:07
99409,TUH,07:20
99007,TUH,07:25
99411,TUH,07:38
99207,TUH,07:44
99413,TUH,07:56
99209,TUH,08:04
99415,TUH,08:14
99009,TUH,08:24
99417,TUH,08:28
99401,SNPD,05:50
99403,SNPD,06:18
99405,SNPD,06:34
99407,SNPD,07:04
99409,SNPD,07:24
99411,SNPD,07:42
99413,SNPD,08:00
99415,SNPD,08:18
99417,SNPD,08:32
99401,VSH,05:54
99403,VSH,06:22
99405,VSH,06:38
99407,VSH,07:08
99409,VSH,07:28
99411,VSH,07:46
99413,VSH,08:04
99415,VSH,08:22
99417,VSH,08:37
99001,JNJ,00:30
99003,JNJ,05:37
99201,JNJ,06:05
99005,JNJ,06:45
99203,JNJ,06:52
99205,JNJ,07:11
99007,JNJ,07:29
99207,JNJ,07:48
99209,JNJ,08:08
99009,JNJ,08:28
99001,NEU,00:34
99003,NEU,05:41
99201,NEU,06:10
99005,NEU,06:49
99203,NEU,06:57
99205,NEU,07:18
99007,NEU,07:34
99207,NEU,07:53
99209,NEU,08:13
99009,NEU,08:33
99001,SWDV,00:38
99003,SWDV,05:45
99005,SWDV,06:53
99007,SWDV,07:38
99009,SWDV,08:37
99001,BEPR,00:42
99003,BEPR,05:49
99005,BEPR,06:57
99007,BEPR,07:42
99009,BEPR,08:41
99001,KHAG,00:46
99003,KHAG,05:53
99005,KHAG,07:01
99007,KHAG,07:46
99009,KHAG,08:45
99001,MANR,00:49
99003,MANR,05:56
99005,MANR,07:04
99007,MANR,07:49
99009,MANR,08:48
99001,KNDS,00:52
99003,KNDS,05:59
99005,KNDS,07:07
99007,KNDS,07:52
99009,KNDS,08:51
99001,PNVL,00:57
99003,PNVL,06:04
99005,PNVL,07:12
99007,PNVL,07:57
99009,PNVL,08:56
99211,TNA,08:14
99419,TNA,08:23
99213,TNA,08:31
99421,TNA,08:36
99011,TNA,08:41
99215,TNA,08:51
99423,TNA,08:56
99217,TNA,09:04
99425,TNA,09:09
99013,TNA,09:14
99219,TNA,09:19
99427,TNA,09:30
99015,TNA,09:39
99221,TNA,09:47
99429,TNA,09:53
99017,TNA,10:01
99431,TNA,10:07
99223,TNA,10:12
99433,TNA,10:20
99211,DIGH,08:19
99419,DIGH,08:28
99213,DIGH,08:36
99421,DIGH,08:41
99011,DIGH,08:46
99215,DIGH,08:56
99423,DIGH,09:01
99217,DIGH,09:09
99425,DIGH,09:14
99013,DIGH,09:19
99219,DIGH,09:24
99427,DIGH,09:35
99015,DIGH,09:44
99221,DIGH,09:52
99429,DIGH,09:58
99017,DIGH,10:06
99431,DIGH,10:12
99223,DIGH,10:17
99433,DIGH,10:25
99211,AIRL,08:22
99419,AIRL,08:31
99213,AIRL,08:39
99421,AIRL,08:44
99011,AIRL,08:49
99215,AIRL,08:59
99423,AIRL,09:04
99217,AIRL,09:12
99425,AIRL,09:17
99013,AIRL,09:22
99219,AIRL,09:27
99427,AIRL,09:38
99015,AIRL,09:47
99221,AIRL,09:55
99429,AIRL,10:01
99017,AIRL,10:09
99431,AIRL,10:15
99223,AIRL,10:20
99433,AIRL,10:28
99211,RABE,08:25
99419,RABE,08:34
99213,RABE,08:42
99421,RABE,08:47
99011,RABE,08:52
99215,RABE,09:02
99423,RABE,09:07
99217,RABE,09:15
99425,RABE,09:20
99013,RABE,09:25
99219,RABE,09:30
99427,RABE,09:41
99015,RABE,09:50
99221,RABE,09:58
99429,RABE,10:04
99017,RABE,10:12
99431,RABE,10:18
99223,RABE,10:23
99433,RABE,10:31
99211,GNSL,08:28
99419,GNSL,08:37
99213,GNSL,08:45
99421,GNSL,08:50
99011,GNSL,08:55
99215,GNSL,09:05
99423,GNSL,09:10
99217,GNSL,09:18
99425,GNSL,09:23
99013,GNSL,09:28
99219,GNSL,09:33
99427,GNSL,09:44
99015,GNSL,09:53
99221,GNSL,10:01
99429,GNSL,10:07
99017,GNSL,10:15
99431,GNSL,10:21
99223,GNSL,10:26
99433,GNSL,10:34
99211,KPHN,08:31
99419,KPHN,08:40
99213,KPHN,08:48
99421,KPHN,08:53
99011,KPHN,08:58
99215,KPHN,09:08
99423,KPHN,09:13
99217,KPHN,09:21
99425,KPHN,09:26
99013,KPHN,09:31
99219,KPHN,09:36
99427,KPHN,09:47
99015,KPHN,09:56
99221,KPHN,10:04
99429,KPHN,10:10
99017,KPHN,10:18
99431,KPHN,10:24
99223,KPHN,10:29
99433,KPHN,10:37
99211,TUH,08:35
99419,TUH,08:44
99213,TUH,08:52
99421,TUH,08:57
99011,TUH,09:02
99215,TUH,09:12
99423,TUH,09:17
99217,TUH,09:25
99425,TUH,09:30
99013,TUH,09:35
99219,TUH,09:40
99427,TUH,09:51
99015,TUH,10:00
99221,TUH,10:08
99429,TUH,10:14
99017,TUH,10:22
99431,TUH,10:28
99223,TUH,10:33
99433,TUH,10:41
99419,SNPD,08:48
99421,SNPD,09:01
99423,SNPD,09:21
99425,SNPD,09:34
99427,SNPD,09:55
99429,SNPD,10:18
99431,SNPD,10:32
99433,SNPD,10:45
99419,VSH,08:52
99421,VSH,09:05
99423,VSH,09:25
99425,VSH,09:39
99427,VSH,09:59
99429,VSH,10:22
99431,VSH,10:36
99433,VSH,10:50
99211,JNJ,08:39
99213,JNJ,08:56
99011,JNJ,09:06
99215,JNJ,09:16
99217,JNJ,09:29
99013,JNJ,09:39
99219,JNJ,09:44
99015,JNJ,10:04
99221,JNJ,10:12
99017,JNJ,10:26
99223,JNJ,10:37
99211,NEU,08:44
99213,NEU,09:01
99011,NEU,09:10
99215,NEU,09:21
99217,NEU,09:34
99013,NEU,09:43
99219,NEU,09:51
99015,NEU,10:08
99221,NEU,10:17
99017,NEU,10:31
