train_number,station,time
93005,CHURCHGATE,05:03
93007,CHURCHGATE,05:51
93009,CHURCHGATE,07:11
93011,CHURCHGATE,07:41
93015,CHURCHGATE,08:48
93203,CHURCHGATE,10:03
93031,CHURCHGATE,15:18
93041,CHURCHGATE,20:19
93005,Marine Lines,05:06
93007,Marine Lines,05:55
93009,Marine Lines,07:14
93011,Marine Lines,07:45
93015,Marine Lines,08:51
93031,Marine Lines,15:20
93041,Marine Lines,20:23
93005,Charni Road,05:08
93007,Charni Road,05:57
93009,Charni Road,07:16
93011,Charni Road,07:47
93015,Charni Road,08:53
93031,Charni Road,15:22
93041,Charni Road,20:24
93005,Grant Road,05:10
93007,Grant Road,06:00
93009,Grant Road,07:18
93011,Grant Road,07:50
93015,Grant Road,08:57
93031,Grant Road,15:26
93041,Grant Road,20:28
93005,M'BAI CENTRAL,05:12
93007,M'BAI CENTRAL,06:04
93009,M'BAI CENTRAL,07:21
93011,M'BAI CENTRAL,07:52
93015,M'BAI CENTRAL,08:59
93203,M'BAI CENTRAL,10:12
93031,M'BAI CENTRAL,15:27
93041,M'BAI CENTRAL,20:30
93005,DADAR,05:19
93007,DADAR,06:13
93009,DADAR,07:29
93011,DADAR,07:59
93015,DADAR,09:06
93203,DADAR,10:20
93031,DADAR,15:35
93035,DADAR,18:00
93041,DADAR,20:37
93005,BANDRA,05:26
93007,BANDRA,06:18
93009,BANDRA,07:34
93011,BANDRA,08:03
93015,BANDRA,09:11
93203,BANDRA,10:25
93031,BANDRA,15:40
93035,BANDRA,18:06
93041,BANDRA,20:42
93005,ANDHERI,05:35
93007,ANDHERI,06:26
93009,ANDHERI,07:45
93011,ANDHERI,08:12
93015,ANDHERI,09:18
93203,ANDHERI,10:32
93031,ANDHERI,15:47
93035,ANDHERI,18:13
93041,ANDHERI,20:51
93005,BORIVALI,05:48
93007,BORIVALI,06:38
93009,BORIVALI,07:57
93011,BORIVALI,08:24
93015,BORIVALI,09:31
93017,BORIVALI,10:25
93203,BORIVALI,10:47
93031,BORIVALI,16:03
93035,BORIVALI,18:27
93041,BORIVALI,21:06
93035,Dahisar,18:33
93035,Mira Road,18:38
93005,BHAYANDAR,05:57
93007,BHAYANDAR,06:47
93009,BHAYANDAR,08:08
93011,BHAYANDAR,08:39
93015,BHAYANDAR,09:45
93017,BHAYANDAR,10:41
93203,BHAYANDAR,11:01
93031,BHAYANDAR,16:12
93035,BHAYANDAR,18:42
93041,BHAYANDAR,21:17
93035,Naigaon,18:49
93005,VASAI ROAD,06:04
93007,VASAI ROAD,06:54
93009,VASAI ROAD,08:17
93011,VASAI ROAD,08:48
93015,VASAI ROAD,09:56
93017,VASAI ROAD,10:52
93203,VASAI ROAD,11:12
93031,VASAI ROAD,16:21
93035,VASAI ROAD,18:54
93041,VASAI ROAD,21:29
93035,Nallasopara,19:00
93001,VIRAR,04:50
93201,VIRAR,05:35
93005,VIRAR,06:15
93007,VIRAR,07:03
93009,VIRAR,08:28
93011,VIRAR,09:00
93013,VIRAR,09:29
93015,VIRAR,10:07
93017,VIRAR,11:05
93203,VIRAR,11:24
93021,VIRAR,12:00
93023,VIRAR,12:20
93025,VIRAR,13:20
93205,VIRAR,15:00
93029,VIRAR,15:45
93031,VIRAR,16:29
93033,VIRAR,18:18
93035,VIRAR,19:07
93207,VIRAR,20:30
93039,VIRAR,21:04
93041,VIRAR,21:40
93001,Vaiterna,05:01
93201,Vaiterna,05:46
93005,Vaiterna,06:24
93007,Vaiterna,07:14
93009,Vaiterna,08:41
93011,Vaiterna,09:09
93013,Vaiterna,09:40
93015,Vaiterna,10:16
93017,Vaiterna,11:15
93203,Vaiterna,11:35
93021,Vaiterna,12:11
93023,Vaiterna,12:29
93025,Vaiterna,13:30
93205,Vaiterna,15:11
93029,Vaiterna,15:56
93031,Vaiterna,16:39
93033,Vaiterna,18:27
93035,Vaiterna,19:16
93207,Vaiterna,20:41
93039,Vaiterna,21:15
93041,Vaiterna,21:51
93001,SAPHALE,05:08
93201,SAPHALE,05:53
93005,SAPHALE,06:33
93007,SAPHALE,07:21
93009,SAPHALE,08:48
93011,SAPHALE,09:18
93013,SAPHALE,09:49
93015,SAPHALE,10:23
93017,SAPHALE,11:23
93203,SAPHALE,11:44
93021,SAPHALE,12:18
93023,SAPHALE,12:38
93025,SAPHALE,13:38
93205,SAPHALE,15:18
93029,SAPHALE,16:05
93031,SAPHALE,16:47
93033,SAPHALE,18:35
93035,SAPHALE,19:25
93207,SAPHALE,20:48
93039,SAPHALE,21:24
93041,SAPHALE,21:58
93001,Kelve Road,05:15
93201,Kelve Road,06:00
93005,Kelve Road,06:40
93007,Kelve Road,07:29
93009,Kelve Road,08:55
93011,Kelve Road,09:24
93013,Kelve Road,09:56
93015,Kelve Road,10:30
93017,Kelve Road,11:28
93203,Kelve Road,11:51
93021,Kelve Road,12:26
93023,Kelve Road,12:44
93025,Kelve Road,13:43
93205,Kelve Road,15:24
93029,Kelve Road,16:11
93031,Kelve Road,16:54
93033,Kelve Road,18:40
93035,Kelve Road,19:30
93207,Kelve Road,20:55
93039,Kelve Road,21:31
93041,Kelve Road,22:05
93001,PALGHAR,05:32
93201,PALGHAR,06:08
93005,PALGHAR,06:56
93007,PALGHAR,07:43
93009,PALGHAR,09:02
93011,PALGHAR,09:31
93013,PALGHAR,10:12
93015,PALGHAR,10:39
93017,PALGHAR,11:37
93203,PALGHAR,11:59
93021,PALGHAR,12:40
93023,PALGHAR,13:05
93025,PALGHAR,13:52
93205,PALGHAR,15:33
93029,PALGHAR,16:18
93031,PALGHAR,17:17
93033,PALGHAR,18:54
93035,PALGHAR,19:39
93207,PALGHAR,21:18
93039,PALGHAR,21:40
93041,PALGHAR,22:20
93001,Umroli,05:37
93201,Umroli,06:15
93005,Umroli,07:02
93007,Umroli,07:50
93009,Umroli,09:09
93011,Umroli,09:38
93013,Umroli,10:18
93015,Umroli,10:45
93017,Umroli,11:42
93203,Umroli,12:04
93021,Umroli,12:45
93023,Umroli,13:12
93025,Umroli,13:57
93205,Umroli,15:38
93029,Umroli,16:25
93031,Umroli,17:24
93033,Umroli,19:00
93035,Umroli,19:45
93207,Umroli,21:24
93039,Umroli,21:45
93041,Umroli,22:25
93001,BOISAR,05:44
93201,BOISAR,06:20
93005,BOISAR,07:07
93007,BOISAR,07:56
93009,BOISAR,09:15
93011,BOISAR,09:44
93013,BOISAR,10:23
93015,BOISAR,10:52
93017,BOISAR,11:51
93203,BOISAR,12:11
93021,BOISAR,12:54
93023,BOISAR,13:18
93025,BOISAR,14:03
93205,BOISAR,15:45
93029,BOISAR,16:32
93031,BOISAR,17:30
93033,BOISAR,19:07
93035,BOISAR,19:50
93207,BOISAR,21:29
93039,BOISAR,21:53
93041,BOISAR,22:32
93001,Vangaon,05:51
93201,Vangaon,06:27
93005,Vangaon,07:16
93007,Vangaon,08:03
93009,Vangaon,09:24
93011,Vangaon,09:51
93013,Vangaon,10:32
93015,Vangaon,10:59
93017,Vangaon,12:00
93203,Vangaon,12:18
93021,Vangaon,13:16
93023,Vangaon,13:32
93025,Vangaon,14:10
93205,Vangaon,16:05
93029,Vangaon,16:52
93031,Vangaon,17:37
93033,Vangaon,19:14
93035,Vangaon,19:59
93207,Vangaon,21:38
93039,Vangaon,22:00
93041,Vangaon,22:48
93001,DAHANU ROAD,06:15
93201,DAHANU ROAD,06:49
93005,DAHANU ROAD,07:38
93007,DAHANU ROAD,08:24
93009,DAHANU ROAD,09:49
93011,DAHANU ROAD,10:14
93013,DAHANU ROAD,10:50
93015,DAHANU ROAD,11:24
93017,DAHANU ROAD,12:20
93203,DAHANU ROAD,12:40
93021,DAHANU ROAD,13:34
