train_number,station,time
90011,CHURCHGATE,04:15
90015,CHURCHGATE,04:18
90011,Marine Lines,04:18
90015,Marine Lines,04:21
90011,Charni Road,04:20
90015,Charni Road,04:23
90011,Grant Road,04:23
90015,Grant Road,04:26
90011,M'BAI CENTRAL (L),04:25
90015,M'BAI CENTRAL (L),04:28
90011,Mahalakshmi,04:28
90015,Mahalakshmi,04:31
90011,Lower Parel,04:31
90015,Lower Parel,04:34
90011,Prabhadevi,04:34
90015,Prabhadevi,04:37
90011,DADAR,04:36
90015,DADAR,04:39
90011,Matunga Road,04:38
90015,Matunga Road,04:41
90011,Mahim Jn.,04:41
90015,Mahim Jn.,04:44
90001,BANDRA,04:05
90007A,BANDRA,04:30
90011,BANDRA,04:45
90015,BANDRA,04:48
90001,Khar Road,04:09
90007A,Khar Road,04:34
90011,Khar Road,04:48
90015,Khar Road,04:51
90001,Santa Cruz,04:12
90007A,Santa Cruz,04:37
90011,Santa Cruz,04:50
90015,Santa Cruz,04:53
90001,Vile Parle,04:15
90007A,Vile Parle,04:40
90011,Vile Parle,04:53
90015,Vile Parle,04:56
90001,ANDHERI,04:20
92003,ANDHERI,04:25
92005,ANDHERI,04:40
90007A,ANDHERI,04:45
90011,ANDHERI,04:58
90015,ANDHERI,05:01
90001,Jogeshwari,04:23
92003,Jogeshwari,04:29
92005,Jogeshwari,04:44
90007A,Jogeshwari,04:48
90011,Jogeshwari,05:01
90015,Jogeshwari,05:04
90001,Ram Mandir,04:26
92003,Ram Mandir,04:32
92005,Ram Mandir,04:47
90007A,Ram Mandir,04:51
90011,Ram Mandir,05:04
90015,Ram Mandir,05:07
90001,Goregaon,04:28
92003,Goregaon,04:34
92005,Goregaon,04:49
90007A,Goregaon,04:53
90011,Goregaon,05:06
90015,Goregaon,05:09
90001,Malad,04:32
92003,Malad,04:38
92005,Malad,04:53
90007A,Malad,04:58
90011,Malad,05:10
90015,Malad,05:13
90001,Kandivli,04:35
92003,Kandivli,04:41
92005,Kandivli,04:56
90007A,Kandivli,05:01
90011,Kandivli,05:13
90015,Kandivli,05:16
90001,BORIVALI,04:42
92001,BORIVALI,04:40
92003,BORIVALI,04:46
92005,BORIVALI,05:01
90007,BORIVALI,04:56
90007A,BORIVALI,05:06
94001,BORIVALI,05:07
90011,BORIVALI,05:20
90013,BORIVALI,05:21
90015,BORIVALI,05:22
92001,Dahisar,04:45
92003,Dahisar,04:50
92005,Dahisar,05:05
90007,Dahisar,05:00
90007A,Dahisar,05:11
94001,Dahisar,05:11
90011,Dahisar,05:24
90013,Dahisar,05:25
92001,Mira Road,04:49
92003,Mira Road,04:55
92005,Mira Road,05:10
90007,Mira Road,05:05
90007A,Mira Road,05:16
94001,Mira Road,05:16
90011,Mira Road,05:29
90013,Mira Road,05:30
92001,Bhayandar,04:54
92003,Bhayandar,05:00
90003,Bhayandar,05:08
92005,Bhayandar,05:15
90007,Bhayandar,05:10
90007A,Bhayandar,05:21
94001,Bhayandar,05:21
90009,Bhayandar,05:25
90011,Bhayandar,05:34
90013,Bhayandar,05:35
92001,Naigaon,04:59
92003,Naigaon,05:06
90003,Naigaon,05:14
92005,Naigaon,05:21
90007,Naigaon,05:16
94001,Naigaon,05:27
90009,Naigaon,05:31
90011,Naigaon,05:40
90013,Naigaon,05:41
92001,Vasai Road,05:04
92003,Vasai Road,05:11
90003,Vasai Road,05:19
92005,Vasai Road,05:26
90007,Vasai Road,05:21
94001,Vasai Road,05:32
90009,Vasai Road,05:36
90011,Vasai Road,05:45
90013,Vasai Road,05:48
92001,Nalla Sopara,05:09
92003,Nalla Sopara,05:16
90003,Nalla Sopara,05:24
92005,Nalla Sopara,05:31
90007,Nalla Sopara,05:26
94001,Nalla Sopara,05:37
90009,Nalla Sopara,05:41
90011,Nalla Sopara,05:50
93001,VIRAR,04:50
92001,VIRAR,05:15
92003,VIRAR,05:23
90003,VIRAR,05:31
92005,VIRAR,05:38
93003,VIRAR,05:35
90007,VIRAR,05:39
94001,VIRAR,05:45
90009,VIRAR,05:48
90011,VIRAR,05:58
90019,CHURCHGATE,04:38
90021,CHURCHGATE,04:40
90025,CHURCHGATE,04:46
90029,CHURCHGATE,04:55
93005,CHURCHGATE,05:03
90031,CHURCHGATE,05:00
90033,CHURCHGATE,05:07
90041,CHURCHGATE,05:15
90019,Marine Lines,04:41
90021,Marine Lines,04:43
90025,Marine Lines,04:49
90029,Marine Lines,04:58
93005,Marine Lines,05:06
90031,Marine Lines,05:03
90033,Marine Lines,05:10
90041,Marine Lines,05:18
90019,Charni Road,04:43
90021,Charni Road,04:45
90025,Charni Road,04:51
90029,Charni Road,05:00
93005,Charni Road,05:09
90031,Charni Road,05:05
90033,Charni Road,05:12
90041,Charni Road,05:20
90019,Grant Road,04:46
90021,Grant Road,04:48
90025,Grant Road,04:54
90029,Grant Road,05:03
93005,Grant Road,05:11
90031,Grant Road,05:08
90033,Grant Road,05:15
90041,Grant Road,05:23
90019,M'BAI CENTRAL (L),04:48
90021,M'BAI CENTRAL (L),04:50
90025,M'BAI CENTRAL (L),04:56
90029,M'BAI CENTRAL (L),05:05
93005,M'BAI CENTRAL (L),05:13
90031,M'BAI CENTRAL (L),05:10
90033,M'BAI CENTRAL (L),05:17
90041,M'BAI CENTRAL (L),05:25
90019,Mahalakshmi,04:51
90025,Mahalakshmi,04:59
90029,Mahalakshmi,05:08
90031,Mahalakshmi,05:13
90037,Mahalakshmi,05:17
90019,Lower Parel,04:54
90025,Lower Parel,05:02
90029,Lower Parel,05:11
90031,Lower Parel,05:16
90037,Lower Parel,05:21
90019,Prabhadevi,04:57
90025,Prabhadevi,05:05
90029,Prabhadevi,05:14
90031,Prabhadevi,05:19
90037,Prabhadevi,05:24
90019,DADAR,04:59
90021,DADAR,04:57
90025,DADAR,05:07
90029,DADAR,05:16
92009,DADAR,05:15
93005,DADAR,05:20
90031,DADAR,05:21
90033,DADAR,05:24
90037,DADAR,05:26
90041,DADAR,05:32
90019,Matunga Road,05:01
90025,Matunga Road,05:09
90029,Matunga Road,05:18
90031,Matunga Road,05:23
90037,Matunga Road,05:28
90019,Mahim Jn.,05:04
90025,Mahim Jn.,05:12
90029,Mahim Jn.,05:21
90031,Mahim Jn.,05:26
90037,Mahim Jn.,05:31
90017,BANDRA,04:55
90019,BANDRA,05:08
90021,BANDRA,05:03
90025,BANDRA,05:16
90027,BANDRA,05:20
90029,BANDRA,05:25
92009,BANDRA,05:22
93005,BANDRA,05:27
90031,BANDRA,05:30
90033,BANDRA,05:30
90037,BANDRA,05:35
90039,BANDRA,05:40
90041,BANDRA,05:37
90017,Khar Road,04:58
90019,Khar Road,05:11
90025,Khar Road,05:19
90027,Khar Road,05:23
90029,Khar Road,05:28
90031,Khar Road,05:33
90037,Khar Road,05:39
90039,Khar Road,05:45
90017,Santa Cruz,05:00
90019,Santa Cruz,05:13
90025,Santa Cruz,05:21
90027,Santa Cruz,05:25
90029,Santa Cruz,05:30
90031,Santa Cruz,05:35
90037,Santa Cruz,05:41
90039,Santa Cruz,05:47
90017,Vile Parle,05:03
90019,Vile Parle,05:16
90025,Vile Parle,05:24
90027,Vile Parle,05:28
90029,Vile Parle,05:33
90031,Vile Parle,05:38
90037,Vile Parle,05:44
90039,Vile Parle,05:50
90017,ANDHERI,05:08
90019,ANDHERI,05:22
90021,ANDHERI,05:12
90025,ANDHERI,05:28
90027,ANDHERI,05:33
90029,ANDHERI,05:37
92009,ANDHERI,05:32
93005,ANDHERI,05:36
90031,ANDHERI,05:43
90033,ANDHERI,05:40
90037,ANDHERI,05:49
90039,ANDHERI,05:56
90041,ANDHERI,05:45
90017,Jogeshwari,05:12
90019,Jogeshwari,05:25
90025,Jogeshwari,05:31
90027,Jogeshwari,05:36
90029,Jogeshwari,05:40
90031,Jogeshwari,05:46
90037,Jogeshwari,05:52
90039,Jogeshwari,05:59
90017,Ram Mandir,05:15
90019,Ram Mandir,05:28
90025,Ram Mandir,05:34
90027,Ram Mandir,05:39
90029,Ram Mandir,05:43
90031,Ram Mandir,05:49
90037,Ram Mandir,05:55
90039,Ram Mandir,06:02
90017,Goregaon,05:17
90019,Goregaon,05:30
90025,Goregaon,05:36
90027,Goregaon,05:41
90029,Goregaon,05:45
90031,Goregaon,05:51
90037,Goregaon,05:57
90039,Goregaon,06:04
90017,Malad,05:21
90019,Malad,05:34
90025,Malad,05:40
90027,Malad,05:45
90029,Malad,05:49
90031,Malad,05:55
90037,Malad,06:01
90039,Malad,06:08
90017,Kandivli,05:24
90019,Kandivli,05:37
90025,Kandivli,05:43
90027,Kandivli,05:48
90029,Kandivli,05:52
90031,Kandivli,05:58
90037,Kandivli,06:04
90039,Kandivli,06:11
90017,BORIVALI,05:30
90019,BORIVALI,05:44
90021,BORIVALI,05:26
90025,BORIVALI,05:49
90027,BORIVALI,05:55
90029,BORIVALI,05:58
92009,BORIVALI,05:45
93005,BORIVALI,05:49
90031,BORIVALI,06:05
90033,BORIVALI,05:54
90037,BORIVALI,06:11
90039,BORIVALI,06:17
90041,BORIVALI,05:58
90021,Dahisar,05:30
92009,Dahisar,05:50
90033,Dahisar,05:58
90041,Dahisar,06:02
90021,Mira Road,05:35
92009,Mira Road,05:54
90033,Mira Road,06:02
90041,Mira Road,06:07
90021,Bhayandar,05:40
92007,Bhayandar,05:45
92009,Bhayandar,05:59
93005,Bhayandar,05:58
90033,Bhayandar,06:07
90035,Bhayandar,06:08
90041,Bhayandar,06:12
90021,Naigaon,05:45
92007,Naigaon,05:52
92009,Naigaon,06:04
90033,Naigaon,06:12
90035,Naigaon,06:15
90041,Naigaon,06:18
90021,Vasai Road,05:50
92007,Vasai Road,05:57
92009,Vasai Road,06:09
93005,Vasai Road,06:05
90033,Vasai Road,06:17
90035,Vasai Road,06:21
90041,Vasai Road,06:23
90021,Nalla Sopara,05:55
92007,Nalla Sopara,06:02
92009,Nalla Sopara,06:14
90033,Nalla Sopara,06:22
90035,Nalla Sopara,06:26
90041,Nalla Sopara,06:28
90021,VIRAR,06:02
92007,VIRAR,06:11
92009,VIRAR,06:20
93005,VIRAR,06:15
90033,VIRAR,06:30
90035,VIRAR,06:34
90041,VIRAR,06:38
90045,CHURCHGATE,05:15
90047,CHURCHGATE,05:19
90049,CHURCHGATE,05:23
90051,CHURCHGATE,05:28
90053,CHURCHGATE,05:29
92229,CHURCHGATE,05:36
90059,CHURCHGATE,05:36
94005,CHURCHGATE,05:40
90045,Marine Lines,05:18
90047,Marine Lines,05:22
90049,Marine Lines,05:26
90051,Marine Lines,05:31
90053,Marine Lines,05:32
90059,Marine Lines,05:39
94005,Marine Lines,05:43
90045,Charni Road,05:20
90047,Charni Road,05:24
90049,Charni Road,05:28
90051,Charni Road,05:33
90053,Charni Road,05:34
90059,Charni Road,05:41
94005,Charni Road,05:45
