train_number,station,time
90006,VIRAR,03:25
90018,VIRAR,03:40
90006,Nalla Sopara,03:31
90012,Nalla Sopara,03:40
90018,Nalla Sopara,03:46
94002,Nalla Sopara,04:00
90006,VASAI ROAD,03:36
90012,VASAI ROAD,03:46
90018,VASAI ROAD,03:51
94002,VASAI ROAD,04:06
90006,Naigaon,03:41
90012,Naigaon,03:50
90018,Naigaon,03:56
94002,Naigaon,04:11
90006,BHAYANDAR,03:47
90012,BHAYANDAR,03:56
90018,BHAYANDAR,04:02
90020,BHAYANDAR,04:10
94002,BHAYANDAR,04:16
90006,Mira Road,03:52
90012,Mira Road,04:01
90018,Mira Road,04:07
90020,Mira Road,04:16
94002,Mira Road,04:21
90006,Dahisar,03:56
90012,Dahisar,04:05
90018,Dahisar,04:11
90020,Dahisar,04:20
94002,Dahisar,04:25
90004,BORIVALI,03:50
90006,BORIVALI,04:00
90008,BORIVALI,04:05
90010,BORIVALI,04:10
90012,BORIVALI,04:11
90014,BORIVALI,04:15
90016,BORIVALI,04:20
90018,BORIVALI,04:16
90020,BORIVALI,04:25
90022,BORIVALI,04:25
94002,BORIVALI,04:29
94004,BORIVALI,04:31
90004,Kandivali,03:55
90006,Kandivali,04:04
90008,Kandivali,04:11
90010,Kandivali,04:16
90014,Kandivali,04:20
90016,Kandivali,04:25
90022,Kandivali,04:31
94004,Kandivali,04:36
90004,Malad,03:58
90006,Malad,04:07
90008,Malad,04:14
90010,Malad,04:19
90014,Malad,04:23
90016,Malad,04:28
90022,Malad,04:34
94004,Malad,04:39
90004,Goregaon,04:01
90006,Goregaon,04:10
90008,Goregaon,04:17
90010,Goregaon,04:22
90014,Goregaon,04:26
90016,Goregaon,04:31
90022,Goregaon,04:37
94004,Goregaon,04:42
90004,Ram Mandir,04:03
90006,Ram Mandir,04:12
90008,Ram Mandir,04:19
90010,Ram Mandir,04:24
90014,Ram Mandir,04:28
90016,Ram Mandir,04:33
90022,Ram Mandir,04:39
94004,Ram Mandir,04:44
90004,Jogeshwari,04:06
90006,Jogeshwari,04:15
90008,Jogeshwari,04:22
90010,Jogeshwari,04:27
90014,Jogeshwari,04:31
90016,Jogeshwari,04:36
90022,Jogeshwari,04:42
94004,Jogeshwari,04:47
90002,ANDHERI,04:05
90004,ANDHERI,04:11
90006,ANDHERI,04:20
90008,ANDHERI,04:27
90010,ANDHERI,04:32
90014,ANDHERI,04:36
90016,ANDHERI,04:41
90018,ANDHERI,04:31
90020,ANDHERI,04:39
90022,ANDHERI,04:46
94004,ANDHERI,04:51
90002,Vile Parle,04:09
90004,Vile Parle,04:14
90006,Vile Parle,04:23
90008,Vile Parle,04:30
90010,Vile Parle,04:35
90014,Vile Parle,04:39
90016,Vile Parle,04:44
90022,Vile Parle,04:49
94004,Vile Parle,04:55
90002,Santa Cruz,04:12
90004,Santa Cruz,04:17
90006,Santa Cruz,04:26
90008,Santa Cruz,04:33
90010,Santa Cruz,04:38
90014,Santa Cruz,04:42
90016,Santa Cruz,04:47
90022,Santa Cruz,04:52
94004,Santa Cruz,04:58
90002,Khar Road,04:15
90004,Khar Road,04:20
90006,Khar Road,04:29
90008,Khar Road,04:36
90010,Khar Road,04:41
90014,Khar Road,04:45
90016,Khar Road,04:50
90022,Khar Road,04:55
94004,Khar Road,05:01
90002,BANDRA,04:19
90004,BANDRA,04:24
90006,BANDRA,04:33
90008,BANDRA,04:40
90010,BANDRA,04:45
90014,BANDRA,04:49
90016,BANDRA,04:54
90018,BANDRA,04:41
90020,BANDRA,04:48
