stop_id,stop_name,stop_lat,stop_lon
AIROLI,Airoli,19.1585231,72.9994023
AMBERNATH,Ambernath,19.2100605,73.1846877
AMBIVLI,Ambivli,19.2682913,73.1722459
ANDHERI,Andheri,19.1196976,72.8464205
ASANGAON,Asangaon,19.4397472,73.3080116
ATGAON,Atgaon,19.5035419,73.3282574
BADLAPUR,Badlapur,19.1666237,73.2389064
BAMANDONGRI,Bamandongri,18.9751702,73.0244037
BANDRA,Bandra,19.0549792,72.8402203
BHANDUP,Bhandup,19.142757,72.9376543
BHAYANDAR,Bhayandar,19.3101847,72.8526988
BHAYANDER,Bhayander,19.3101847,72.8526988
BHIVPURI_ROAD,Bhivpuri Road,18.9705491,73.3314374
BOISAR,Boisar,19.7984865,72.761452
BORIVALI,Borivali,19.229068,72.8573628
BYCULLA,Byculla,18.9766219,72.8327936
CBD_BELAPUR,CBD Belapur,19.0205999,73.0402663
CSMT,CSMT,18.939856,72.8355191
CHARNI_ROAD,Charni Road,18.9518437,72.8182401
CHEMBUR,Chembur,19.0626,72.9011
CHINCHPOKLI,Chinchpokli,18.9871984,72.8326716
CHUNABHATTI,Chunabhatti,19.0517703,72.8690974
CHURCHGATE,Churchgate,18.934886,72.827164
COTTON_GREEN,Cotton Green,18.9871866,72.8438965
CURREY_ROAD,Currey Road,18.9937486,72.8328556
DADAR,Dadar,19.018335,72.843214
DAHANU_ROAD,Dahanu Road,19.9915236,72.7434083
DAHISAR,Dahisar,19.2493572,72.8596302
DIGHA_GAON,Digha Gaon,19.1807762,72.9944301
DIVA,Diva,19.1946052,73.0554607
DOCKYARD_ROAD,Dockyard Road,18.9674767,72.8445477
DOLAVLI,Dolavli,18.8331631,73.3203444
DOMBIVLI,Dombivli,19.2180493,73.0861355
DRONAGIRI,Dronagiri,18.8813327,72.9647315
GAVHAN,Gavhan,18.9388268,73.017833
GHANSOLI,Ghansoli,19.1163113,73.0070197
GHATKOPAR,Ghatkopar,19.0856928,72.9083668
GOREGAON,Goregaon,19.1648688,72.8495492
GOVANDI,Govandi,19.0553688,72.9150702
GRANT_ROAD,Grant Road,18.9632181,72.8180437
GURU_TEGH_BAHADUR_NAGAR,Guru Tegh Bahadur Nagar,19.0380048,72.8643455
JOGESHWARI,Jogeshwari,19.1361821,72.848936
JUINAGAR,Juinagar,19.0558651,73.0182495
KALVA,Kalva,19.1952243,72.9963331
KALYAN,Kalyan,19.2352248,73.1344903
KANDIVALI,Kandivali,19.2041136,72.8517376
KANDIVLI,Kandivli,19.2041136,72.8517376
KANJUR_MARG,Kanjur Marg,19.1286526,72.9280394
KARJAT,Karjat,18.9099653,73.3209629
KASARA,Kasara,19.6482325,73.4735887
KELAVLI,Kelavli,18.8445449,73.3189117
KELVE_ROAD,Kelve Road,19.6240526,72.7911751
KHADAVLI,Khadavli,19.356724,73.2190375
KHANDESHWAR,Khandeshwar,19.0073498,73.0952827
KHAR_ROAD,Khar Road,19.0682411,72.8400412
KHARDI,Khardi,19.5802161,73.3938248
KHARGHAR,Kharghar,19.0257729,73.0591845
KHARKOPAR,Kharkopar,18.9598939,73.0141321
KHOPOLI,Khopoli,18.788473,73.3460712
KING'S_CIRCLE,King'S Circle,19.0316822,72.8577375
KOPAR,Kopar,19.212423,73.078865
KOPAR_KHAIRANE,Kopar Khairane,19.1032454,73.011311
KURLA,Kurla,19.0653066,72.8792687
LOWER_PAREL,Lower Parel,18.99528,72.83
LOWJEE,Lowjee,18.809571,73.3351848
M'BAI_CENTRAL,M'Bai Central,18.9695855,72.8193152
MAHALAXMI,Mahalaxmi,18.9825203,72.8242196
MAHIM,Mahim,19.0406634,72.8466038
MALAD,Malad,19.1867193,72.8485884
MANKHURD,Mankhurd,19.0481,72.9317
MANSAROVAR,Mansarovar,19.0164338,73.0806552
MARINE_LINES,Marine Lines,18.945764,72.8237193
MASJID,Masjid,18.9522949,72.8381771
MATUNGA,Matunga,19.0274356,72.8501467
MATUNGA_ROAD,Matunga Road,19.0274356,72.8501467
MIRA_ROAD,Mira Road,19.2816975,72.8560676
MULUND,Mulund,19.1721366,72.9566971
MUMBAI_CENTRAL,Mumbai Central,18.9695855,72.8193152
MUMBRA,Mumbra,19.1899425,73.0230752
NAHUR,Nahur,19.1546402,72.9466525
NAIGAON,Naigaon,19.351467,72.846343
NALLA_SOPARA,Nalla Sopara,19.4178997,72.8185693
NALLASOPARA,Nallasopara,19.4178997,72.8185693
NERAL,Neral,19.0272987,73.3185239
NERUL,Nerul,19.0335798,73.0181584
NHAVE_SHEVA,Nhave Sheva,18.898061,72.9877967
PALASDHARI,Palasdhari,18.884354,73.3208133
PALGHAR,Palghar,19.6978882,72.7718888
PANVEL,Panvel,18.9894239,73.122695
PAREL,Parel,19.0094817,72.8376614
PRABHADEVI,Prabhadevi,19.0074717,72.8358965
RABALE,Rabale,19.1366355,73.0027822
RAM_MANDIR,Ram Mandir,19.151023,72.8501467
REAY_ROAD,Reay Road,18.9775506,72.8441011
SANDHURST_ROAD,Sandhurst Road,18.9609243,72.8393719
SANPADA,Sanpada,19.0659856,73.0095329
SANTACRUZ,Santacruz,19.081667,72.841389
SAPHALE,Saphale,19.5771316,72.8218812
SEAWOODS_DARAVE,Seawoods Darave,19.022,73.019
SEWRI,Sewri,18.9987796,72.8544218
SHAHAD,Shahad,19.2435838,73.1580746
SHELU,Shelu,19.063516,73.3179261
SHEMATIKHAR,Shematikhar,18.90923,73.01582
SION,Sion,19.0465213,72.8632834
TARGHAR,Targhar,18.9899416,73.0343309
THAKURLI,Thakurli,19.2262813,73.0980174
THANE,Thane,19.186483,72.9757664
THANSIT,Thansit,19.5503368,73.3522404
TILAKNAGAR,Tilaknagar,19.0657855,72.8904702
TITWALA,Titwala,19.2963827,73.2030656
TURBHE,Turbhe,19.0761453,73.0176991
ULHAS_NAGAR,Ulhas Nagar,19.2178804,73.1630778
UMBERMALI,Umbermali,19.6283669,73.4229527
UMBERMALLI,Umbermalli,19.6283669,73.4229527
UMROLI,Umroli,19.7557614,72.7604506
URAN,Uran,18.8784186,72.9525001
VADALA_ROAD,Vadala Road,19.0161355,72.8589129
VAITERNA,Vaiterna,19.5186517,72.8499772
VANGANI,Vangani,19.0943323,73.3008946
VANGAON,Vangaon,19.88299,72.76317
VASAI_ROAD,Vasai Road,19.3826676,72.8320245
VASHI,Vashi,19.0632912,72.998762
VASIND,Vasind,19.4065089,73.2674683
VIDYAVIHAR,Vidyavihar,19.0795422,72.8971169
VIKHROLI,Vikhroli,19.1114795,72.928021
VILE_PARLE,Vile Parle,19.0999098,72.8440038
VILEPARLE,Vileparle,19.0999098,72.8440038
VIRAR,Virar,19.4553059,72.811816
VITHALWADI,Vithalwadi,19.2284195,73.1491076
